"par_tekst","LEMMA_ID","GRUNNFORM","val","kommentar","unntak"
"260,262",34235,"halde","260","«Hald!»",
"098,099",28013,"fø","099","«dd»-endingar, ikkje «dt»",
"66EE,66EF,66EG,66EH",115439,"små","66EF","«Smærre» har eg ikkje høyrt om før og høyrest unaturleg ut",
"001,393,393T",64424,"neste","001","«Stadfestar» (pres.) og «stadfesta» (pret.), ikkje «stadfester» (pres.) eller «stadfeste» (pret.)",
"037,321",870,"ale","037","«aler», ikkje «el», i presens",
"118,349",18007,"elje","118","«el» i presens og «alde» i preteritum",
"700,750",49754,"konto","700","«kontoar», ikkje «konti», i fleirtal",
"800,809",83690,"skrift","800","«skrift» og «skrifta» (gjeld nøytrumsord), ikkje «skrifter» og «skriftene», i fleirtal (for å ikkje blanda med hokjønnsordet «skrift»)",
"749,789,790,800",13329,"datum","800","«datum» som inkjekjønnsord",
"802,905",78672,"sende","802","Inkjekjønnsforma",
"325,328X",94157,"ta","325","«godtek», ikkje «godtar», i presens; «godteken», ikkje «godtatt» i perf-part m.",
"572,572T",66840,"open","572","«ope», ikkje «opent», i eint nøyt.",
"341,373,374",14863,"dra","374","«drar», ikkje «dreg», i presens; «dd»-ending i perf-part",
"001,015",73944,"regne","001","«ar»-ending, ikkje «er»-ending",
"027,028",39458,"høgje","028","«de»-ending òg for perf-part nøyt",
"215,216",56132,"lyde","215","«de»-ending òg for perf-part nøyt",
"700,756",61612,"modus","700","«modusar», ikkje «modi»; «modusane», ikkje «modiane». Allereie brukt i omsetjingane.",
"49P,49Q",123173,"éin","49Q","«éitt», ikkje «éit» (men ordet skulle vel ikkje vore med i ordbanken?)",
"48G,48SJV",116804,"sjølv","48SJV","«sjølve», ikkje «sjølv», i fleirtal",
"359,360",54564,"le","359","«har ledd», ikkje «har lett»",
"023,079",101866,"tømme","023","«de»-ending i perf-part",
"019,041",109333,"venne","019","«Avtalen er godkjend», ikkje «godkjent»",
"940,963",62524,"mus","940","«mus», ikkje «myser», i fleirtal",
"532,680",127697,"vidare","532","Bøyingane er like, så har ikkje noko å seia kva me vel",
"132,133",110831,"vie","132","«vigd», ikkje «vigt», i perf part nøytr; «å bøye» vert då òg «bøygd», ikkje «bøygt», i perf-part nøyt",
"094,095",9682,"breie","094","«breidd», ikkje «breitt», i perf part nøytr; «å greie» vert då òg «greidd», ikkje «greitt», i perf-part nøyt",
"700,720",68979,"parameter","720","«parametrar», ikkje «parameterar», i fleirtal",
"500,606",58401,"låg","500","Gradbøyinga vert «lågare, lågast, lågaste», ikkje «lægre, lægst, lægste»",
"272,27C",53591,"la","272","«lèt» og «lét» i presens og preteritum",
"031,032",11672,"byggje","032","«bygd», ikkje «bygt», i perf part nøyt",
"702,743",123784,"byte","743","«Byte» i fleirtal, ifølgje retningslinjene",
"146,146D,146DT",16843,"eige","146D","Følgjer retningslinjene: «eigde i preteritum» og «de»-ending i perferktum partisipp.",
"118,411",50831,"krevje","411","«kravd», ikkje «kravt», i perf part",
"700,740",69228,"pass","740","«pass», ikkje «passar» i fleirtal",
"015,037",55574,"lime","015","«limde» i preteritum og perfektum",
"500,510",85901,"slut","510","«slut», ikkje «slutt» i possessiv nøytrum.",
"564,572",126354,"mykjen","572","«mykjne» i fleirtal» (men me kan vel eksludera dette ordet?)",
"511,532",60159,"mellombels","511","«mellombelse», ikkje «mellombels» i fleirtal og bunden possessiv",
"001,019,210",99831,"trygge","001","«ar»-ending i presens. Men me brukar uansett «tryggje».",
"019,210",11615,"bygge","210","Perf nøyt «bygd», ikkje «bygt». Men me brukar uansett «byggje».",
"313,314,315",5851,"be","313","Har «bedt», ikkje «bedd»/«bede»",
"031,032,052",99850,"tryggje","052","«ar»-ending i presens, «a»-ending i preteritum",
"511,609",41307,"innebygd","511","«d»-ending i eintal, òg i nøytrum.",
"800,900",27715,"fyll","800","Nøytrum. «Fyllet», ikkje «fylla» i bunden eintal, for å unngå å misforstå som fleirtal",
"530,532",99636,"tru","532","«Tru» i alle bøyingane, ikkje «trutt» eller «true».",
"001,094,095",15070,"dreie","001","«Dreiar», ikkje «dreier» i presens. «Dreia» i alle perfektumformene, ikkje «dreidd» eller «dreitt» (den siste er litt morosam)",
"080,081,085",76074,"ry","080","«de»-ending i perfektum – «rydd»  (følgjer retningslinjene)",
"530,531",8474,"blå","530","«Blå», ikkje «blåe» i fleirtal (følgjer normen i omsetjingane)",
"577,577T",18208,"emmen","577T","«Emment», ikkje «emme» er einaste forskjell",
"500,633",65608,"nær","500","«Nærare», ikkje «nærmare» som adjektiv (følgjer normen i omsetjingane)",
"305,316,317",5852,"bede","317","Har «bedt», ikkje «bedd»/«bede» (jf. for ordet «be»)",
"453,463",116214,"ho","453","«Ho» heller enn «henne» i objektsform",
"670,677",128533,"nær","670","«Nærare», ikkje «nærmare» som adverb (følgjer normen i omsetjingane)",
"700,701",40242,"idé","700","«Idéar», ikkje «idear» (følgjer normen i omsetjingane)",
"700,705,730,734",59927,"medlem","730","«Medlemmar», ikkje «medlemar» (følgjer normen i omsetjingane)",
"800,883",5484,"barn","800","«Barn» òg i fleirtal, ikkje «born» (følgjer normen i omsetjingane)",
"213,213G",23240,"fly","213G","«flyr», ikkje «flyg», i presens",
"001,015,030",36991,"heve","001","«hevar» (pres.), «heva» (pret. og adj.), ikkje «hever» (pres.) eller «hevde» (pret. og adj.)",
"700,705,800",41643,"innrykk","800","Inkjekjønnsforma: eit innrykk – innrykket – innrykk – innrykka",
"740,741",60539,"meter","740","«meter» i ubunden form fleirtal, ikkje «meterar» eller «metrar», men «metrane», ikkje «meterane», i bunden form fleirtal (jf. «parameter»)",
"900,974",14612,"dokk","900","«snøfonner», ikkje «snøfenner»",
"740,785",69785,"peso","785","«pesos», ikkje «peso», i fl ub",
"900,908",114065,"øy","900","«øyer», ikkje «øyar», i fl",
"037,148",36243,"heite","037","«heitte», ikkje «het» i pret",
"372,372A",108823,"vekse","372A","«vaks», ikkje «voks», i pret",
"737,781",33483,"guinea","781","«guinea», ikkje «guineas», i fl ub",
"200,201,202",96285,"tilby","200","«tilbaud», ikkje «tilbydde»",
"165,166,168",31141,"gli","165","dd-ending i perf-part mask og nøyt; de-ending i perf-part bu og fl",
"001,345",36998,"hevje","001","Ikkje sterk bøying, men hevjar – hevja – har hevja osv.",
"940,962",59325,"mark","940","«mark» og «markene» i fl, ikkje «merker» og «merkene»",
"188,189",7243,"binde","189","«bind!», ikkje «bitt!» i imperativ",
"700,730",58345,"løyndom","730","«løyndommen» og «ungdommen» med dobbel konsonant",
"510,532",61528,"mod","510","Godta gradbøying av adjektiv som «sky» og «slu»",
"700,727",61936,"morgon","700","«morgonar» og «morgonane» i fl, ikkje «morgnar» og «morgnane»",
"900,962",101498,"tyngdekraft","962","«tyngdekreftene», ikkje «tyngdekraftene», i fl bu",
"134,135",65911,"nøye","134","«nøgd», ikkje «nøgt», i perf-part nøyt",
"649,649T",65912,"nøyen","649","«nøye», ikkje «nøyent», i pos nøyt",
"700,763",8654,"bog","700","«bogar» og «bogane», ikkje «bøger» og «bøgene», i fl",
"766,800",115328,"stand","766","mask, ikkje nøytr; «stender» og «stendene» i staden for «stand» og «standa»",
"001,242",96208,"tigge","001","svak bøying med ar-ending i pres; «tiggar», ikkje «tigg» osv.",
"098,099,168",112374,"vri","168","«vrei», «sklei», «gnei», ikkje «vridde», «sklidde», «gnidde»",
"700,908",11775,"bygning","700","Hankjønn for ord som «bygning», «demning» og «ladning» (kan vera aktuelt med unntak)","88262=908"
"289,291",35155,"henge","289","«hang», ikkje «hekk», i pret (elles lik bøying)",
"743,784",126347,"acre","743","«acre», ikkje «acres», i fl ub",
"140,141",63432,"måtte","140","«mått», ikkje «måtta», i perf-part nøyt (elles lik bøying)",
"738,785",70008,"pint","785","«pintane», ikkje «pints» i bunden fleirtal (men «pints» i ubunden)",
"700,705,740,781",123627,"lira","740","«lira», ikkje «liraer», i fleirtal ubunden; «liraane», ikkje «liraene», i fleirtal bunden",
"500,647",32728,"grov","500","«grovare, grovast, grovaste», ikkje «grøvre, grøvst, grøvste»",
"001,037,037B,164",79707,"sike","001","«sikar» i pres; «sika», ikkje «sikte» el «seik» i pret.; berre «sika» i perf-part, ikkje «sikt» el «siken»",
"015,030,159,160,161",90854,"stride","030","«strider», ikkje «strid», i pres; «stridde», ikkje «streid», i pret; «stridd» i perf-part m/f/n, ikkje «striden» el «stridt»",
"920,922",55333,"lever","920","er- og ene-ending i fl ub og bu, ikkje ar- og ane-ending",
"159,160,161",31142,"glide","159","«glidne», «ridne» osv., ikkje «glidde», «ridde» osv.",
"720,814",98996,"triangel","814","Inkjekjønnsforma, ikkje hankjønnsforma",
"001,015,037,037B",31169,"glime","001","ar-ending i presens; «glima», ikkje «glimde» el «glimte» i pret; «glima», ikkje «glimd» el «glimt» i perf-part m/f/n",
"015,030,198",25016,"forskyve","198","«forskyv», ikkje «forskyver»",
"198,206,207",24072,"forbyde","198","«forbaud», ikkje «forbydde» (jf. «forby»)",
"800,844",19568,"faktum","844","«fakta», ikkje «faktum», i fleirtal",
"037,358",8557,"blåse","037","«blåser», ikkje «blæs», i pres; «blåste», ikkje «bles», i pret; «blåst», ikkje «blåsen» el «blåse», i perf-part m/f/n",
"511,593",88701,"spreidd","511","«spreidd», ikkje «spreitt», i pos nøyt",
"823,924",93870,"søppel","823","Inkjekjønnsforma: eit søppel – søppelet – søppel – søpla, ikkje ei søppel – søpla – søpler – søplene",
"120,121",97690,"tore","120","«torer», ikkje «tør», i pres",
"435,440",122948,"kjennast","440","«kjendest», ikkje «kjentest», i pret",
"720,741",125358,"shekel","720","«sheklar», ikkje «shekel», i fleirtal",
"749,800",45761,"kilo","800","Inkjekjønnsforma, så «kiloet», ikkje «kiloen»",
"019,209,210",37716,"hogge","209","«høgg», ikkje «hogger», i presens (det høyrest kjappast og mest dramatisk ut)",
"037,418",91351,"stupe","037","Svak bøying: «stuper», ikkje «styp» i presens, osv.",
"42I,438",97685,"torast","438","«torest», ikkje «tørst», i pres",
"500,520",35925,"heilag","500","«heilagast» og «heilagaste», ikkje «heilagst» og «heilagste»",
"700,702",125238,"beagle","702","«beaglar» og «beaglane» i fleirtal, ikkje «beaglear» og «beagleane»",
"700,900,908",113971,"ørn","900","Hokjønnsforma; er- og en-ending i fleirtal, ikkje ar- og ane-ending",
"721,823",73204,"rammel","823","Inkjekjønnsforma; «rammel», ikkje «ramlar», i fleirtal",
"749,754",43272,"joggesko","749","«sko» og «skoa» i fleirtal, ikkje «skor» og «skorne»",
"800,801",59786,"mausolé","800","«mausoléet», ikkje «mausoleet»",
"800,830",72251,"publikum","830","«publikummet», ikkje «publikumet»; «publikumma», ikkje «publikuma»",
"814,816",62900,"møbel","816","«møblar», ikkje «møbel», i fleirtal",
"001,323",482,"ake","001","Svak bøyingsform: «akar», ikkje «ek», i pres; «aka», ikkje «ok», i pret; «aka» i perf-part m/f/n",
"015,030,164",80226,"sive","164","Sterk bøyingsform: «siv», ikkje «siver», i pres; «seiv», ikkje «sivde», i pret; «siven», «sive» og «sivne» i perf-part m/n/bu",
"037,198",33844,"gyte","198","Sterk bøyingsform: «gyt», ikkje «gyter», i pres; «gaut», ikkje «gytte», i pret; «goten» og «gote» i perf-part m/f/n",
"125,126",95066,"teie","126","«tagd», ikkje «tagt», i perf-part nøyt (elles like bøyingar)",
"700,705,781",124278,"hryvnja","781","«hryvnja» utan ending i fl ub; «hryvnjaene» i fl bu (det er altså snakk om ei mynteining i Ukraina, ikkje eit sært nynorsk verb!)",
"700,747",109241,"vender","700","«venderar» og «venderane», ikkje «vender» og «venderene». Så òg t.d. «nordtrønderar» og «nordtrønderande».",
"700,763,968",124172,"hov","700","«hestehovar», ikkje «hestehøver»",
"700,763T,969",38112,"hóv","700","«hestehóvar», ikkje «hestehøver»",
"700,772",2564,"apsis","700","«apsisar», ikkje «apsidar»; «apsisande», ikkje «apsidane»",
"700,793,794",69526,"penny","794","«pence» og «pencane» i fl, ikkje «pennyar», «penny» og «pennyane»",
"700,89A",77914,"sanskrit","700","Hankjønnsbøyinga, så «sanskritar» og «sanskriten» i fl (fann ikkje inkjekjønnsforma i Ordbanken)",
"705,900",76889,"saga","705","Hankjønnsforma, så «sagaen», ikkje «sagaa» i eint bu",
"429,434,438",107614,"varast","429","«varast», ikkje «varest», i presens",
"66A,66AE,66C,66D,66E",55851,"liten","66C","ein «liten» katt, den «vesle» katten, ein «minste» katt",
"274,274A",96465,"tillate","274","«tillèt» og «tillét» (presens og preteritum), ikkje «tillet»",
"272,272A,27C,27C1",53591,"la","272","«lèt» og «lét» (presens og preteritum), ikkje «lar» eller «let»",
"001,364",81194,"skake","001","«skakar», ikkje «skjek» i presens",
